date,source_type,page,city,campaign_id,group_id,ad_id,keyword_id,calls
2/1/20,direct,/dveri-s-termorazryivom/,Тамбов,,,,,1
2/1/20,organic,/,Краснодар,,,,,1
2/1/20,organic,/,Москва,,,,,2
2/1/20,organic,/avtomaticheskie-porogi,Уфа,,,,,1
2/1/20,organic,/bronirovannyie/,Москва,,,,,1
2/1/20,organic,/dver-tamburnaya-tb-9,Москва,,,,,1
2/1/20,organic,/elektromexanicheskij-protivop,Казань,,,,,1
2/1/20,organic,/elitnye-vhodnye-dveri-v-kvart,Люберцы,,,,,1
2/1/20,organic,/elitnye-vhodnye-dveri-v-kvart,Москва,,,,,1
2/1/20,organic,/elitnye-vhodnye-dveri-v-kvart,Симферополь,,,,,1
2/1/20,organic,/otzyvy,Москва,,,,,1
2/1/20,organic,/podezdnye/,Волгоград,,,,,1
2/1/20,organic,/podezdnye/,Сургут,,,,,1
2/1/20,organic,/s-shumoizolyacziej/,Екатеринбург,,,,,1
2/1/20,organic,/tamburnaya-dver-tb-4,Москва,,,,,1
2/1/20,organic,/v-kassu/,Киев,,,,,1
2/1/20,organic,/v-kotelnuyu/,Видное,,,,,1
2/1/20,organic,/v-kotelnuyu/,Москва,,,,,1
2/1/20,organic,/vent-reshetka-protivopozharna,Санкт-Петербург,,,,,1
2/1/20,organic,/verxnij-suvaldnyij-zamok-secu,Нижний Новгород,,,,,1
2/1/20,organic,/vzlomostojkie/,,,,,,1
2/1/20,referral,/s-zerkalom/,Москва,,,,,1
2/1/20,referral,/s-zerkalom/,Путилково,,,,,1
2/2/20,direct,/?tv|filter-naz=Для квартиры&m,Москва,,,,,1
2/2/20,direct,/paradnaya-stalnaya-dver-fejno,Санкт-Петербург,,,,,1
2/2/20,direct,/vxodnaya-dver-model-oazis,Иркутск,,,,,1
2/2/20,direct,/zamkovaya-sistema-ekonom-klas,Москва,,,,,1
2/2/20,organic,/,Москва,,,,,1
2/2/20,organic,/dveri-s-termorazryivom/,Москва,,,,,1
2/2/20,organic,/dveri-uteplennye/,Домодедово,,,,,1
2/2/20,organic,/elitnye-vhodnye-dveri-v-kvart,Лондон,,,,,1
2/2/20,organic,/elitnye-vhodnye-dveri-v-kvart,Новосибирск,,,,,1
2/2/20,organic,/mettem-zvsp-2t-d-(n),Москва,,,,,1
2/2/20,organic,/nizhnij-czilindrovyij-zamok-s,Москва,,,,,1
2/2/20,organic,/s-shumoizolyacziej/,Тула,,,,,1
2/2/20,organic,/verxnij-suvaldnyij-zamok-secu,Москва,,,,,1
2/2/20,referral,/,Москва,,,,,1
2/2/20,referral,/s-zerkalom/,Москва,,,,,3
2/2/20,referral,/trexkonturnaya-dver-labirint-,Москва,,,,,1
2/3/20,direct,/,,,,,,3
2/3/20,organic,/,Саратов,,,,,1
2/3/20,organic,/dveri-s-kovkoj/,Москва,,,,,1
2/3/20,organic,/dveri-s-termorazryivom/,Москва,,,,,3
2/3/20,organic,/dvuxstvorchatyie/,Москва,,,,,1
2/3/20,organic,/mul-t-lock-omega-plus,Санкт-Петербург,,,,,1
2/3/20,organic,/s-shumoizolyacziej/,Москва,,,,,2
2/3/20,referral,/,Казань,,,,,1
2/3/20,referral,/s-zerkalom/,Москва,,,,,3
2/4/20,direct,/,,,,,,1
2/4/20,direct,/,Витебск,,,,,1
2/4/20,direct,/,Москва,,,,,2
2/4/20,organic,/,Москва,,,,,1
