date,campaign_id,group_id,ad_id,keyword_id,campaign_name,group_name,ad_name,keyword,cost,clicks,impressions
2/1/20,1194086,153787377,369955376,513993806,Арочные - Поиск - Москва и часть МО,"металлические, стальные",#Двери металлические арочные#! - На заказ. Мск и МО!,Двери металлические арочные -входные -изготовление -дом -заказ -заказать -купить -москве,0,0,1
2/1/20,1194086,153787377,369955376,513993807,Арочные - Поиск - Москва и часть МО,"металлические, стальные",#Двери металлические арочные#! - На заказ. Мск и МО!,Металлические двери с аркой -двухстворчатые,0,0,1
2/1/20,1194086,153787377,369955376,513993808,Арочные - Поиск - Москва и часть МО,"металлические, стальные",#Двери металлические арочные#! - На заказ. Мск и МО!,Двери входные арочные металлические,0,0,2
2/1/20,1194086,153787377,369955376,513993810,Арочные - Поиск - Москва и часть МО,"металлические, стальные",#Двери металлические арочные#! - На заказ. Мск и МО!,Изготовление арочных металлических дверей,0,0,3
2/1/20,1194086,153787377,369955376,561904495,Арочные - Поиск - Москва и часть МО,"металлические, стальные",#Двери металлические арочные#! - На заказ. Мск и МО!,Двери арочные входные с массивом,0,0,2
2/1/20,1194086,153787378,369955377,513993813,Арочные - Поиск - Москва и часть МО,"входные, в дом",#Входные арочные двери для дома#! - Новый каталог!,Арочные входные двери -двухстворчатые -дом -железные -заказ -купить -металлические -москве -ценой -массивом,92.46,2,3
2/1/20,1194086,153787378,369955377,513993814,Арочные - Поиск - Москва и часть МО,"входные, в дом",#Входные арочные двери для дома#! - Новый каталог!,Входные арочные двери. Цена,0,0,4
2/1/20,1194086,153787378,369955377,513993815,Арочные - Поиск - Москва и часть МО,"входные, в дом",#Входные арочные двери для дома#! - Новый каталог!,Входная дверь в дом арочная -загородного -частный,0,0,1
2/1/20,1194086,153787378,369955377,513993816,Арочные - Поиск - Москва и часть МО,"входные, в дом",#Входные арочные двери для дома#! - Новый каталог!,Двери стальные арочные -заказ -ковкой -купить -производителя,0,0,5
2/1/20,1194086,153787378,369955377,513993817,Арочные - Поиск - Москва и часть МО,"входные, в дом",#Входные арочные двери для дома#! - Новый каталог!,Арочные входные двери для загородного дома,0,0,1
2/1/20,1194086,153787378,369955377,513993819,Арочные - Поиск - Москва и часть МО,"входные, в дом",#Входные арочные двери для дома#! - Новый каталог!,Купить дверь входную арочную,0,0,3
2/1/20,1194086,153787378,369955377,513993822,Арочные - Поиск - Москва и часть МО,"входные, в дом",#Входные арочные двери для дома#! - Новый каталог!,Арочные входные двери в частный дом,0,0,4
2/1/20,1194086,153787378,369955377,513993825,Арочные - Поиск - Москва и часть МО,"входные, в дом",#Входные арочные двери для дома#! - Новый каталог!,Входные арочные двери на заказ,207.4052,2,9
2/2/20,1194086,153787377,369955376,513993806,Арочные - Поиск - Москва и часть МО,"металлические, стальные",#Двери металлические арочные#! - На заказ. Мск и МО!,Двери металлические арочные -входные -изготовление -дом -заказ -заказать -купить -москве,0,0,1
2/2/20,1194086,153787377,369955376,513993808,Арочные - Поиск - Москва и часть МО,"металлические, стальные",#Двери металлические арочные#! - На заказ. Мск и МО!,Двери входные арочные металлические,194.6216,1,8
2/2/20,1194086,153787378,369955377,513993813,Арочные - Поиск - Москва и часть МО,"входные, в дом",#Входные арочные двери для дома#! - Новый каталог!,Арочные входные двери -двухстворчатые -дом -железные -заказ -купить -металлические -москве -ценой -массивом,100.165,1,6
2/2/20,1194086,153787378,369955377,513993818,Арочные - Поиск - Москва и часть МО,"входные, в дом",#Входные арочные двери для дома#! - Новый каталог!,Двухстворчатые арочные двери входные,0,0,1
2/2/20,1194086,153787378,369955377,513993823,Арочные - Поиск - Москва и часть МО,"входные, в дом",#Входные арочные двери для дома#! - Новый каталог!,Арочные входные двери со стеклом,0,0,1
2/3/20,1194086,153787377,369955376,513993807,Арочные - Поиск - Москва и часть МО,"металлические, стальные",#Двери металлические арочные#! - На заказ. Мск и МО!,Металлические двери с аркой -двухстворчатые,0,0,2
2/3/20,1194086,153787377,369955376,513993808,Арочные - Поиск - Москва и часть МО,"металлические, стальные",#Двери металлические арочные#! - На заказ. Мск и МО!,Двери входные арочные металлические,0,0,3
2/3/20,1194086,153787377,369955376,513993809,Арочные - Поиск - Москва и часть МО,"металлические, стальные",#Двери металлические арочные#! - На заказ. Мск и МО!,Двери входные арочные в Москве,225.1334,2,3
2/3/20,1194086,153787378,369955377,513993813,Арочные - Поиск - Москва и часть МО,"входные, в дом",#Входные арочные двери для дома#! - Новый каталог!,Арочные входные двери -двухстворчатые -дом -железные -заказ -купить -металлические -москве -ценой -массивом,0,0,8
2/3/20,1194086,153787378,369955377,513993819,Арочные - Поиск - Москва и часть МО,"входные, в дом",#Входные арочные двери для дома#! - Новый каталог!,Купить дверь входную арочную,0,0,2
2/3/20,1194086,153787378,369955377,513993823,Арочные - Поиск - Москва и часть МО,"входные, в дом",#Входные арочные двери для дома#! - Новый каталог!,Арочные входные двери со стеклом,0,0,1
2/3/20,1194086,153787378,369955377,513993825,Арочные - Поиск - Москва и часть МО,"входные, в дом",#Входные арочные двери для дома#! - Новый каталог!,Входные арочные двери на заказ,0,0,1
2/4/20,1194086,153787377,369955376,513993806,Арочные - Поиск - Москва и часть МО,"металлические, стальные",#Двери металлические арочные#! - На заказ. Мск и МО!,Двери металлические арочные -входные -изготовление -дом -заказ -заказать -купить -москве,0,0,1
2/4/20,1194086,153787377,369955376,513993808,Арочные - Поиск - Москва и часть МО,"металлические, стальные",#Двери металлические арочные#! - На заказ. Мск и МО!,Двери входные арочные металлические,0,0,8
2/4/20,1194086,153787377,369955376,513993809,Арочные - Поиск - Москва и часть МО,"металлические, стальные",#Двери металлические арочные#! - На заказ. Мск и МО!,Двери входные арочные в Москве,35.376,1,4
2/4/20,1194086,153787378,369955377,513993813,Арочные - Поиск - Москва и часть МО,"входные, в дом",#Входные арочные двери для дома#! - Новый каталог!,Арочные входные двери -двухстворчатые -дом -железные -заказ -купить -металлические -москве -ценой -массивом,0,0,4
2/5/20,1194086,153787377,369955376,513993807,Арочные - Поиск - Москва и часть МО,"металлические, стальные",#Двери металлические арочные#! - На заказ. Мск и МО!,Металлические двери с аркой -двухстворчатые,0,0,1
2/5/20,1194086,153787377,369955376,513993808,Арочные - Поиск - Москва и часть МО,"металлические, стальные",#Двери металлические арочные#! - На заказ. Мск и МО!,Двери входные арочные металлические,0,0,4
2/5/20,1194086,153787377,369955376,513993809,Арочные - Поиск - Москва и часть МО,"металлические, стальные",#Двери металлические арочные#! - На заказ. Мск и МО!,Двери входные арочные в Москве,0,0,3
2/5/20,1194086,153787377,369955376,513993810,Арочные - Поиск - Москва и часть МО,"металлические, стальные",#Двери металлические арочные#! - На заказ. Мск и МО!,Изготовление арочных металлических дверей,0,0,1
2/5/20,1194086,153787378,369955377,513993813,Арочные - Поиск - Москва и часть МО,"входные, в дом",#Входные арочные двери для дома#! - Новый каталог!,Арочные входные двери -двухстворчатые -дом -железные -заказ -купить -металлические -москве -ценой -массивом,463.975,2,6
2/5/20,1194086,153787378,369955377,513993815,Арочные - Поиск - Москва и часть МО,"входные, в дом",#Входные арочные двери для дома#! - Новый каталог!,Входная дверь в дом арочная -загородного -частный,121.6452,1,1
2/5/20,1194086,153787378,369955377,513993818,Арочные - Поиск - Москва и часть МО,"входные, в дом",#Входные арочные двери для дома#! - Новый каталог!,Двухстворчатые арочные двери входные,0,0,4
